lsoa code,postcode,lsoa name,msoa code,msoa name,ward code,ccg code,local authority code,lsoa 2001 code,lsoa 2011 code,msoa 2001 code,msoa 2011 code
S01006646,AB10 1AA,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006646,AB10 1AB,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006646,AB10 1AD,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006646,AB10 1AF,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006646,AB10 1AG,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006586,AB10 1AH,City Centre West - 05,S02001249,City Centre West,S13002842,012,S12000033,S01000109,S01006586,S02000018,S02001249
S01006646,AB10 1AJ,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006646,AB10 1AL,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006646,AB10 1AN,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006646,AB10 1AP,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006586,AB10 1AQ,City Centre West - 05,S02001249,City Centre West,S13002842,012,S12000033,S01000109,S01006586,S02000018,S02001249
S01006586,AB10 1AR,City Centre West - 05,S02001249,City Centre West,S13002842,012,S12000033,S01000109,S01006586,S02000018,S02001249
S01006646,AB10 1AS,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006586,AB10 1AU,City Centre West - 05,S02001249,City Centre West,S13002842,012,S12000033,S01000109,S01006586,S02000018,S02001249
S01006586,AB10 1AW,City Centre West - 05,S02001249,City Centre West,S13002842,012,S12000033,S01000109,S01006586,S02000018,S02001249
S01006646,AB10 1AX,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006646,AB10 1AY,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006571,AB10 1AZ,West End North - 01,S02001247,West End North,S13002844,012,S12000033,S01000101,S01006571,S02000019,S02001247
S01006646,AB10 1BA,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006586,AB10 1BB,City Centre West - 05,S02001249,City Centre West,S13002842,012,S12000033,S01000109,S01006586,S02000018,S02001249
S01006586,AB10 1BD,City Centre West - 05,S02001249,City Centre West,S13002842,012,S12000033,S01000109,S01006586,S02000018,S02001249
S01006571,AB10 1BE,West End North - 01,S02001247,West End North,S13002844,012,S12000033,S01000101,S01006571,S02000019,S02001247
S01006586,AB10 1BF,City Centre West - 05,S02001249,City Centre West,S13002842,012,S12000033,S01000109,S01006586,S02000018,S02001249
S01006646,AB10 1BG,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006608,AB10 1BH,"Kincorth, Leggart and Nigg South - 01",S02001254,"Kincorth, Leggart and Nigg South",S13002847,012,S12000033,S01000012,S01006608,S02000002,S02001254
S01006586,AB10 1BJ,City Centre West - 05,S02001249,City Centre West,S13002841,012,S12000033,S01000109,S01006586,S02000018,S02001249
S01006646,AB10 1BL,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006586,AB10 1BN,City Centre West - 05,S02001249,City Centre West,S13002841,012,S12000033,S01000109,S01006586,S02000018,S02001249
S01006646,AB10 1BP,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006586,AB10 1BQ,City Centre West - 05,S02001249,City Centre West,S13002842,012,S12000033,S01000109,S01006586,S02000018,S02001249
S01006571,AB10 1BR,West End North - 01,S02001247,West End North,S13002844,012,S12000033,S01000101,S01006571,S02000019,S02001247
S01006646,AB10 1BS,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006586,AB10 1BT,City Centre West - 05,S02001249,City Centre West,S13002842,012,S12000033,S01000109,S01006586,S02000018,S02001249
S01006646,AB10 1BU,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006646,AB10 1BW,George Street - 02,S02001261,George Street,S13002842,012,S12000033,S01000125,S01006646,S02000024,S02001261
S01006586,AB10 1BX,City Centre West - 05,S02001249,City Centre West,S13002842,012,S12000033,S01000109,S01006586,S02000018,S02001249
S01006586,AB10 1BY,City Centre West - 05,S02001249,City Centre West,S13002842,012,S12000033,S01000109,S01006586,S02000018,S02001249
S01006586,AB10 1BZ,City Centre West - 05,S02001249,City Centre West,S13002842,012,S12000033,S01000109,S01006586,S02000018,S02001249
S01006586,AB10 1DA,City Centre West - 05,S02001249,City Centre West,S13002842,012,S12000033,S01000109,S01006586,S02000018,S02001249
